id|name|value_id|value_name|value_struct|values|site_id|title|subtitle|seller_id|category_id|official_store_id|price|base_price|original_price|currency_id|initial_quantity|available_quantity|sold_quantity
MLA770888815|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 3 Generacion Smart Tv Netflix Original||82274172|MLA352001||6670.0|6670.0||ARS|2258|500|50
MLA770888815|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Generacion Smart Tv Netflix Original||82274172|MLA352001||6670.0|6670.0||ARS|2258|500|50
MLA770888815|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Generacion Smart Tv Netflix Original||82274172|MLA352001||6670.0|6670.0||ARS|2258|500|50
MLA856793497|Tiempo de garantía||3 meses|{'number': 3, 'unit': 'meses'}|[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]|MLA|Google Chromecast 3 2018 Bulk Hd Smart Tv Netflix Sin Caja ||284824585|MLA352001||5999.0|5999.0||ARS|1064|500|50
MLA856793497|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 2018 Bulk Hd Smart Tv Netflix Sin Caja ||284824585|MLA352001||5999.0|5999.0||ARS|1064|500|50
MLA818590531|Tipo de garantía|2230279|Garantía de fábrica||[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]|MLA|Chromecast 3 3ra Gen Smart Tv Hdmi Full Hd Oferta Cuotas !!||61852079|MLA352001||9056.19|9056.19||ARS|810|1|500
MLA818590531|Tiempo de garantía||1 años|{'number': 1, 'unit': 'años'}|[{'id': None, 'name': '1 años', 'struct': {'number': 1, 'unit': 'años'}}]|MLA|Chromecast 3 3ra Gen Smart Tv Hdmi Full Hd Oferta Cuotas !!||61852079|MLA352001||9056.19|9056.19||ARS|810|1|500
MLA886509519|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast Con Google Tv Resolucion 4k Streaming||309453406|MLA352001||17999.0|17999.0||ARS|1181|500|151
MLA886509519|Tiempo de garantía||3 meses|{'number': 3, 'unit': 'meses'}|[{'id': None, 'name': '3 meses', 'struct': {'number': 3, 'unit': 'meses'}}]|MLA|Google Chromecast Con Google Tv Resolucion 4k Streaming||309453406|MLA352001||17999.0|17999.0||ARS|1181|500|151
MLA770830113|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA|Google Chromecast 3 Generacion Tv Hdmi En Caja 100% Original||86898163|MLA352001||6699.0|6699.0||ARS|3590|500|150
MLA770830113|Tiempo de garantía||12 meses|{'number': 12, 'unit': 'meses'}|[{'id': None, 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]|MLA|Google Chromecast 3 Generacion Tv Hdmi En Caja 100% Original||86898163|MLA352001||6699.0|6699.0||ARS|3590|500|150
MLA770830113|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA|Google Chromecast 3 Generacion Tv Hdmi En Caja 100% Original||86898163|MLA352001||6699.0|6699.0||ARS|3590|500|150
MLA922345736|Facturación|6891885|Factura A||[{'id': '6891885', 'name': 'Factura A', 'struct': None}]|MLA| Chromecast With Google Tv  De Voz 4k / Makkax||315125513|MLA352001||17999.0|17999.0||ARS|20|1|5
MLA922345736|Tipo de garantía|2230280|Garantía del vendedor||[{'id': '2230280', 'name': 'Garantía del vendedor', 'struct': None}]|MLA| Chromecast With Google Tv  De Voz 4k / Makkax||315125513|MLA352001||17999.0|17999.0||ARS|20|1|5
MLA922345736|Tiempo de garantía||6 meses|{'number': 6, 'unit': 'meses'}|[{'id': None, 'name': '6 meses', 'struct': {'number': 6, 'unit': 'meses'}}]|MLA| Chromecast With Google Tv  De Voz 4k / Makkax||315125513|MLA352001||17999.0|17999.0||ARS|20|1|5
